0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56
GN202337;VERF;Verf;1;"8;796;093;067;146,00";50,00;;GN_103013;103013;GAMMA STRUCTUURPL. 10L BASIS P;PR-1002014;uitverkoop ombouw duurzameverf/verfmeng;2023-09-11 00:00:00;2023-12-31 23:59:59;8711247002888;VERF EN BEITS;101;Ja;Ja;0,00;0,00;0,00;0,00;0,00;0,00;0,00;EVDTI;16,61;;33,49;3,35;16,75;1,67;50,00;0,40;-0,20;1,00;306,00;0,00;0,00;geen;omzet;;Nee;306,00;nan;321,30;groot;Ja;Nee;Geen;AS-864006;uitverkoop ombouw duurzameverf/verfmeng GN;02 - X-% korting op artikel/segment/groep;21,00;;
KH202328;VERF;Verf;1;"8;796;093;067;146,00";30,00;;KH_426903;426903;FLEXA CR MUURVERF EM 1L RETRO VIBE;PR-972773;ZomerTopper Flexa Creations lak en muurverf;2023-07-10 00:00:00;2023-09-03 23:59:59;8711113106139;VERF EN BEITS;101;Nee;Ja;1,00;0,00;0,00;0,00;0,00;0,00;0,00;AKZO;11,26;;29,99;29,99;20,99;20,99;30,00;0,55;0,35;4,00;30,00;1,00;0,00;nvt;omzet;;Nee;30,00;1,00;32,55;groot;Ja;Nee;Geen;AS-135117;Flexa Creations lak en muurverf (incl. meng);02 - X-% korting op artikel/segment/groep;21,00;;
KH202328;VERF;Verf;1;"8;796;093;067;146,00";30,00;;KH_426912;426912;FLEXA CR MUURVERF EM 1L BLUEBERRY DREAM;PR-972773;ZomerTopper Flexa Creations lak en muurverf;2023-07-10 00:00:00;2023-09-03 23:59:59;8711113106221;VERF EN BEITS;101;Nee;Ja;1,00;0,00;0,00;0,00;0,00;0,00;0,00;AKZO;11,26;;29,99;29,99;20,99;20,99;30,00;0,55;0,35;4,00;27,00;1,00;0,00;nvt;omzet;;Nee;27,00;0,00;28,35;groot;Ja;Nee;Geen;AS-135117;Flexa Creations lak en muurverf (incl. meng);02 - X-% korting op artikel/segment/groep;21,00;;
KH202336;VERF;Verf;;nan;nan;;KH_237960;237960;HISTOR COLOR TESTER LIMITLESS;PR-1000076;Histor KVHJ 2024 DISP-KH-23-36-B;2023-09-04 00:00:00;2023-11-05 23:59:59;8712699600615;VERF EN BEITS;101;Ja;Ja;0,00;0,00;0,00;0,00;0,00;0,00;0,00;SIGMA;0,94;;1,49;1,49;1,49;1,49;0,00;0,24;0,24;10,00;"1;280,00";0,00;128,00;nvt;omzet;;Nee;0,00;0,00;0,00;groot;Ja;Nee;Geen;AS-863006;Histor kleur van het jaar 2024 - kleurtester;11 - Slechts;21,00;;
KH202324;VERF;Verf;;nan;0,00;;KH_235332;235332;FL SL WG ZG 9010 2*750ML;PR-983834;Flexa SIDL duo verpakking kop wk 24-31 2023;2023-06-12 00:00:00;2023-08-06 23:59:59;8711113520300;VERF EN BEITS;101;Ja;Ja;0,00;0,00;0,00;0,00;0,00;0,00;0,00;AKZO;20,47;;38,49;25,66;38,49;25,66;0,00;0,36;0,36;1,00;"2;242,00";0,00;0,00;nvt;omzet;;Nee;0,00;0,00;0,00;groot;Ja;Nee;Geen;AS-847012;Flexa SIDL duo verpakking kop wk 24-31 2023;12 - AXI;21,00;;
KH202324;VERF;Verf;;nan;0,00;;KH_235333;235333;FL SL WG ZG WIT 2*750ML;PR-983834;Flexa SIDL duo verpakking kop wk 24-31 2023;2023-06-12 00:00:00;2023-08-06 23:59:59;8711113520317;VERF EN BEITS;101;Ja;Ja;0,00;0,00;0,00;0,00;0,00;0,00;0,00;AKZO;20,47;;38,49;25,66;38,49;25,66;0,00;0,36;0,36;1,00;"1;646,00";0,00;0,00;nvt;omzet;;Nee;0,00;0,00;0,00;groot;Ja;Nee;Geen;AS-847012;Flexa SIDL duo verpakking kop wk 24-31 2023;12 - AXI;21,00;;
GN202334;VERF;Verf;;nan;nan;;GN_225477;225477;FL MM MEUBELS ZWART MAT 750ML;PR-989869;Flexa Mooi Makkelijk- DIS-GN-M/L-233462;2023-08-21 00:00:00;2023-10-15 23:59:59;8711113492041;VERF EN BEITS;101;Ja;Nee;0,00;0,00;0,00;0,00;0,00;0,00;0,00;AKZO;14,53;;28,99;38,65;28,99;38,65;0,00;0,39;0,39;1,00;411,00;0,00;162,00;nvt;omzet;;Nee;0,00;0,00;0,00;groot;Ja;Nee;Geen;AS-855002;Flexa Mooi Makkelijk Display zomer 2023;11 - Slechts;21,00;;
GN202334;VERF;Verf;;nan;nan;;GN_225480;225480;FL MM MEUBELS WIT MAT 750ML;PR-989869;Flexa Mooi Makkelijk- DIS-GN-M/L-233462;2023-08-21 00:00:00;2023-10-15 23:59:59;8711113492058;VERF EN BEITS;101;Ja;Nee;0,00;0,00;0,00;0,00;0,00;0,00;0,00;AKZO;14,52;;28,99;38,65;28,99;38,65;0,00;0,39;0,39;1,00;123,00;0,00;162,00;nvt;omzet;;Nee;0,00;0,00;0,00;groot;Ja;Nee;Geen;AS-855002;Flexa Mooi Makkelijk Display zomer 2023;11 - Slechts;21,00;;
GN202334;VERF;Verf;;nan;nan;;GN_225483;225483;FL MM VLOER&TRAP ANTRACIET ZG 750ML;PR-989869;Flexa Mooi Makkelijk- DIS-GN-M/L-233462;2023-08-21 00:00:00;2023-10-15 23:59:59;8711113492089;VERF EN BEITS;101;Ja;Nee;0,00;0,00;0,00;0,00;0,00;0,00;0,00;AKZO;14,53;;32,99;43,99;32,99;43,99;0,00;0,47;0,47;1,00;252,00;0,00;162,00;nvt;omzet;;Nee;0,00;0,00;0,00;groot;Ja;Nee;Geen;AS-855002;Flexa Mooi Makkelijk Display zomer 2023;11 - Slechts;21,00;;
GN202334;VERF;Verf;;nan;nan;;GN_225489;225489;FL MM KEUKENKASTEN ZWART MAT 750ML;PR-989869;Flexa Mooi Makkelijk- DIS-GN-M/L-233462;2023-08-21 00:00:00;2023-10-15 23:59:59;8711113492126;VERF EN BEITS;101;Ja;Nee;0,00;0,00;0,00;0,00;0,00;0,00;0,00;AKZO;14,53;;28,99;38,65;28,99;38,65;0,00;0,39;0,39;1,00;375,00;0,00;162,00;nvt;omzet;;Nee;0,00;0,00;0,00;groot;Ja;Nee;Geen;AS-855002;Flexa Mooi Makkelijk Display zomer 2023;11 - Slechts;21,00;;
